uid,section,name,first_url,phase_hint,status
38,Кадры,Группы отделов / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1lpj0m2m/anor/mhr/division_group+add,phase-1-hr,optional
41,Кадры,Должности,https://app2.verifix.com/#/!1iil5zr2/vhr/hrm/job_list,phase-1-hr,todo
42,Кадры,Группа должностей,https://app2.verifix.com/#/!1m1xjpry/vhr/hrm/job_group_list,phase-1-hr,todo
43,Кадры,Группа должностей / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1m3f4q7y/vhr/hrm/job_group+add,phase-1-hr,optional
46,Кадры,Должности / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1m91k3we/vhr/hrm/job+add,phase-1-hr,optional
47,Кадры,Разряды,https://app2.verifix.com/#/!1iil5zr2/anor/mhr/rank_list,phase-1-hr,todo
48,Кадры,Разряды / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1mghh64e/anor/mhr/rank+add,phase-1-hr,optional
49,Кадры,Позиции,https://app2.verifix.com/#/!1iil5zr2/vhr/hrm/robot_list,phase-1-hr,todo
50,Кадры,Организационная структура по позициям,https://app2.verifix.com/#/!1mpkxku6/vhr/rep/hrm/robot_structure,phase-1-hr,todo
52,Кадры,Тарифные группы,https://app2.verifix.com/#/!1iil5zr2/vhr/hrm/wage_scale_list,phase-1-hr,todo
